C,A Coruña (La Coruña)
VI,Araba/Álava
AB,Albacete
A,Alicante/Alacant
AL,Almería
O,Asturias
AV,Ávila
BA,Badajoz
PM,Balears (Baleares)
B,Barcelona (Barcelona)
BI,Bizkaia(Vizcaya)
BU,Burgos
CC,Cáceres
CA,Cádiz
S,Cantabria
CS,Castellón/Castelló
CR,Ciudad Real
CO,Córdoba
CU,Cuenca
SS,Gipuzkoa(Guipúzcoa)
GI,Girona (Gerona)
GR,Granada
GU,Guadalajara
H,Huelva
HU,Huesca
J,Jaén
LO,La Rioja
GC,Las Palmas
LE,León
L,Lleida (Lérida)
LU,Lugo (Lugo)
M,Madrid
MA,Málaga
MU,Murcia
NA,Navarra/Nafarroa
OR,Ourense (Orense)
P,Palencia
PO,Pontevedra (Pontevedra)
SA,Salamanca
TF,Santa Cruz de Tenerife
SG,Segovia
SE,Sevilla
SO,Soria
T,Tarragona (Tarragona)
TE,Teruel
TO,Toledo
V,Valencia/València
VA,Valladolid
ZA,Zamora
Z,Zaragoza
CE, Ceuta
ME, Melilla
